Distcode,District,Due_Reports,Submitted_Reports,Reporting Compliance %
211,Badin,1034,1024,99
212,Dadu,1096,1088,99
213,Hyderabad,1005,292,29
214,Sujawal,202,197,98
215,Jamshoro,456,451,99
216,Tando Allahyar,520,519,100
217,Thatta,371,348,94
218,Matiari,437,424,97
219,Tando Muhammad Khan,395,395,100
221,Karachi West,629,533,85
222,Karachi East,230,225,98
223,Korangi,426,426,100
224,Karachi Central,401,387,97
225,Karachi South,207,202,98
226,Malir,644,636,99
231,Jacobabad,595,551,93
232,Larkana,964,957,99
233,Shikarpur,772,761,99
234,Kamber,809,756,93
235,Kashmore,494,426,86
241,Khairpur,1558,1492,96
242,Naushero Feroze,1298,1281,99
243,Shaheed Benazirabad,1175,1175,100
244,Sukkur,1104,957,87
245,Ghotki,694,694,100
251,Mirpurkhas,874,858,98
252,Sanghar,1095,1093,100
253,Tharparkar,631,629,100
254,Umerkot,507,503,99
